ID,NOME
1,John Lukacs
2,David Leavitt
3,Antoine Vitkine
4,William C. Taylor e Polly LaBarre
5,F. H. Hinsley & Alan Stripp
6,Stuart Ball
7,Leander Kahney
8,Abel Basti
9,Stephen E. Ambrose
10,Rui Moreira Lima
11,Simon Singh
12,Sylvia Goulding
13,Jim Selman
14,William Douglas
15,Henrique Rattner
16,"Luiz Eduardo Soares, André Batista, Rodrigo Pimentel"
17,"Luiz Eduardo Soares, Cláudio Ferraz, André Batista, Rodrigo Pimentel"
18,Alfred J. Keller
19,Fábio Braga de Alencar
20,"Grady Booch, James Rumbaugh, Ivar Jacobson"
21,Andrew S. Tanenbaum
22,Alfred Lansing
23,"Aguinaldo Aragon Fernandes, Vladimir Ferraz de Abreu"
24,Fabrício Mariano
25,Aurélio Buarque de Holanda Ferreira
26,Jesús Hernández
27,Sun Tzu
28,Diana Preston
29,Robert Falcon Scott
30,Bryan Mark Rigg
31,Max Hueber Verlag
32,Paul Strathern
33,Adriano da Gama Cury
34,Ana Bremon
35,H. Rider Haggard
36,Robert Harris
37,T. Harv Eker
38,James C. Hunter
39,Mark Finley
40,Nilson da Silva
41,Nelson Piletti
42,Elmasri & Navathe
43,H. M. Deitel & P. J. Deitel
44,Roger S. Pressman
45,Silberschatz – Galvin – Gagne
46,J. Glenn Brookshear
47,Herbert Schildt
48,Bernardinho
49,Ricardo Soares & William Douglas
50,Kim Heldman
51,Douglas E. Comer
52,"Nando Parrado, Vince Rause"
53,Stephen King
54,Cláudio Bojunga
55,Luís Augusto Símon e Marcelo Prado
56,C. G. SWEETING 
57,"TEC, NECHAMA"
58,"RASHKE, RICHARD"
59,LAROUSSE EDITORIAL
60,ALBERTO DELLISOLA
61,Fernando Jorge
62,Padre Fábio de Melo
63,Graciliano Ramos
64,Olivier Ninge & Simonne Mortera
65,Ana Beatriz Barbosa Silva
66,Nilson Teixeira de Almeida
67,Carlos Saldanha Maranhão
68,Stormie Omartian
69,Antonio Mendez & Matt Baglio
70,Armando de Ramón
71,Ruth & Elmer Towns
72,Cristiano Arcoverde
73,Ellen G. White
74,Abe Huber
75,Kenneth E. Hagin
76,Charles Sheldon
77,Sheila Walsh
78,Nonna Bannister
79,Bernard W. Snelgrove
80,Dave Roberson
81,Kenneth E. Hagin e Kenneth Hagin Jr.
82,Alejandro Bullón
83,Walter Nather Jr.
84,Ricardo R. Lecheta
85,Mary Kay Ash
86,Carlos Ruiz Zafón
87,Nigel Cawthorne
88,Ignácio de Loyola Brandão
89,William P. Young
90,Lúcio Barreto Jr
91,Davi Lago e Lúcio Barreto Jr
92,Perilo Borba
93,Lúcio Barreto Jr & Davi Lago
94,Arilton Oliveira
95,Sandra Santos
96,Max Lucado
97,Loron Wade
98,Elvis Oliveira
99,Lúcio Barreto Jr & Richarde Guerra
100,Charles M. Sheldon
101,Eça de Queirós
102,Victoria Keller
103,Elias Freire
104,Alceu Luiz Pazzinato & Maria Helena Valente Senise
105,Richard Acklam with Sally Burgess
106,Billy Graham
107,Jesse Lyman Hurlbut
108,Benny Hinn
109,Sarah Young
110,Liao Yiwu
111,Miroslav Volf
112,Rice Broocks
113,Franklin Ferreira
114,Paulo Vieira
115,Anthony Burgess
116,Nilton Pereira da Cunha
117,Augusto Cury
118,Janio Cesar
119,Joyce Meyer
120,Frederico Pernambuco de Mello
121,Julie Orringer
122,Jimmy Swaggart
123,Tony Cooke
124,Fernandes Oliveira
125,Fernando Morais
126,Assuero Seixas
127,Josué Gonçalves
128,Jorge Linhares
129,Bud Wright
130,Jedida Ferro
131,Rick Renner
132,E. W. Kenyon
133,T. L. Osborn
134,Charles Capps
135,Mark W. Baker
136,Silas Malafaia
137,Walter Nather Jr
138,Sherry Argov
139,Laurentino Gomes
140,Eduardo Bueno
141,Daniel Souza
142,Kenneth W. Hagin
143,Simon Potter
144,Mark hankins
145,Myrna Grant
146,C.S. Lewis
147,Nancy Dufresne
148,Rick Warren
149,Mark Hankins
150,Elizabeth George
151,Dag Tessore
152,David Emigh
153,Luís Gonçalves/Diogo Cavalcanti
154,Abraão de Almeida
155,Alexandre Lopes
156,Dr. Ismael Sobrinho
157,Tim LaHaye
158,Luciano & Kelly Subirá
159,David Murray
160,Irmão Yun com Paul Hattaway
161,Shona & David Murray
162,Corrie Ten Boom com Elizabeth e John Sherril
163,Kenneth Hagin Jr
164,Godofredo Couto
165,André Martins
166,Alex Moriá
167,Dong Yu Lan
168,Pedro Dong
169,Mosab Hassan Yousef
170,Dra. Caroline Leaf
171,Hernandes Dias Lopes
172,Jason Diamantino
