ID,TITULO,SUBTITULO,AUTOR,EDITORA,EDICAO,ANO,N_PAGINAS,LIDO,IDIOMA
1,Churchill,Visionário. Estadista. Historiador,John Lukacs,Jorge Zahar Editor,1,2002,177,N,POR
3,O Homem que sabia demais,Alan Turing e a Invenção do Computador,David Leavitt,Novo Conceito,1,2007,221,N,POR
4,Mein Kampf: A História do Livro,,Antoine Vitkine,Nova Fronteira,1,2010,227,S,POR
5,Inovadores em Ação,As estratégias das empresas que estão redefinindo seus mercados e criando vínculos originais com seus clientes,William C. Taylor e Polly LaBarre,Sextante,1,2008,266,S,POR
7,Code Breakers,The inside story of Bletchey Park,F. H. Hinsley & Alan Stripp,Oxford,1,1993,321,N,ING
8,Winston Churchill: Vidas históricas,,Stuart Ball,Nova Fronteira,1,2006,249,S,POR
11,A Cabeça de Steve Jobs,As lições do líder da empresa mais revolucionária do mundo,Leander Kahney,Agir,2,2009,286,S,POR
13,Hitler em Argentina,,Abel Basti,,3,2009,414,S,ESP
14,Band of Brothers,Companhia de Heróis,Stephen E. Ambrose,Bertrand Brasil,6,2009,390,S,POR
15,Senta a Pua!,,Rui Moreira Lima,Incaer,2,1989,465,S,POR
16,O livro dos códigos,A ciência do sigilo – do antigo Egito à criptografia quântica,Simon Singh,Record,7,2008,446,S,POR
23,15 Minutos Alemão,,Sylvia Goulding,PubliFolha,2,2009,160,S,POR
24,Dutch,Phrasebooks,,Lonely planet,1,2007,256,N,ING/HOL
26,Liderança,,Jim Selman,Pearson Prentice Hall,1,2010,132,S,POR
27,A Arte da Guerra para Provas e Concursos,,William Douglas,Campus Concursos,4,2009,115,S,POR
28,Israel e a paz no Oriente Médio,Uma luz no fim do túnel?,Henrique Rattner,Nobel,1,2008,141,S,POR
29,Elite da Tropa,,"Luiz Eduardo Soares, André Batista, Rodrigo Pimentel",Objetiva,1,2006,315,S,POR
30,Elite da Tropa 2,A História além do filme,"Luiz Eduardo Soares, Cláudio Ferraz, André Batista, Rodrigo Pimentel",Nova Fronteira,1,2010,297,S,POR
31,Minidicionário Português – Espanhol / Espanhol – Português,,,Ciranda Cultural,,,347,N,POR/ESP
32,Melhoramentos dicionário espanhol português-espanhol espanhol-português,,,Melhoramentos,2,2009,215,N,POR/ESP
33,Melhoramentos Minidicionário da Língua Portuguesa,,,Melhoramentos,1,1997,570,N,POR
34,Michaelis: Dicionário Escolar Alemão Alemão-Português/Português-Alemão,,Alfred J. Keller,Melhoramentos,1,2002,631,N,POR/ALE
35,Explicando a Regra Universal da Pronúncia Inglesa,,Fábio Braga de Alencar,,1,2010,40,N,POR
36,UML,Guia do Usuário,"Grady Booch, James Rumbaugh, Ivar Jacobson",Campus,2,2005,474,N,POR
37,Organização Estruturada de Computadores,,Andrew S. Tanenbaum,Pearson Prentice Hall,5,2007,449,N,POR
40,A Incrível Viagem de Shackleton,A mais extraordinária aventura de todos os tempos,Alfred Lansing,Sextante,1,2004,352,S,POR
41,Implantando a Governança de TI,Da estratégia à gestão dos processos e serviços,"Aguinaldo Aragon Fernandes, Vladimir Ferraz de Abreu",Brasport,2,2008,444,N,POR
42,Raciocínio Lógico para Concursos,Teoria e questões,Fabrício Mariano,Campus Concursos,3,2010,352,N,POR
43,mini Aurélio,O minidicionário da língua português,Aurélio Buarque de Holanda Ferreira,Nova Fronteira,4,2001,790,N,POR
44,Enigmas e mistérios da Segunda Guerra Mundial,"Desaparições, mortes e acontecimentos ainda sem explicação do maior conflito bélico da História",Jesús Hernández,Madras,3,2009,240,S,POR
45,A Arte da Guerra,Por uma estratégia perfeita,Sun Tzu,Madras,1,2009,123,S,POR
46,História e Arte São Petersburgo e os Arredores,,,,1,2011,150,N,POR
48,Rumo ao Polo Sul,A trágica história de Robert Falcon Scott,Diana Preston,Editora 34,1,1999,383,S,POR
50,A Última Expedição,A dramática corrida pela conquista do Polo Sul,Robert Falcon Scott,Alegro,1,2002,580,N,POR
51,Os Soldados judeus de Hitler,A História que não foi contada das leis raciais nazistas e de homens de ascendência judia nas forças armadas alemãs,Bryan Mark Rigg,Imago,1,2003,457,S,POR
54,Guia Quatro Rodas Rodoviário 2009,,,Abril,1,2009,123,N,POR
55,Tangram Aktuell 1,Lektion 1-4,Max Hueber Verlag,Hueber,1,2006,143,N,POR
59,Turing e o Computador em 90 minutos,,Paul Strathern,JORGE ZAHAR EDITOR,1,2000,89,S,POR
60,Minidicionário Gama Kury da Língua Portugues,,Adriano da Gama Cury,FTD,1,2002,1184,N,POR
62,Cambridge Learners Dictionary,,,Cambridge University Press,1,2001,767,N,ING
63,15 Minutos Espanhol,,Ana Bremon,PubliFolha,2,2010,160,S,POR/ESP
64,King Solomons Mines,,H. Rider Haggard,Penguin Popular Classics,1,1994,298,N,ING
66,Enigma,,Robert Harris,Ballantine Books,1,1996,372,N,ING
71,Os Segredos da mente milionária,,T. Harv Eker,Sextante,1,2006,176,S,POR
72,O Monge e o Executivo,Uma História sobre a Essência da Liderança,James C. Hunter,Sextante,1,2004,139,S,POR
74,Tempo de esperança,24 Horas para você renovar suas energias,Mark Finley,Casa Publicadora Brasileira,1,2009,111,N,POR
76,Palavras que não passarão,,Nilson da Silva,RiMa,1,2009,118,N,POR
80,História do Brasil,,Nelson Piletti,Ática,14,1996,431,S,POR
85,O Diário de Anne Frank,edição definitiva por Otto H. Frank e Mirjam Pressler,,Bestbolso,12,2010,373,S,POR
86,Easy Play Partituras Facilitadas,As melhores músicas do Cinema,,,1,1990,54,N,POR
87,Easy ABC Music for Eletronic Keyboards,Michael Jackson Greatest Hits,,,,,64,N,ING
88,Wizard Deutsch 1,,,Wizard Brasil Franchising,,,80,S,POR/ALE
89,The Police Anthology,Piano – Vocal – Guitar,,Hal-Leonard,,,136,N,ING
92,Sistemas de Banco de Dados,Fundamentos e Aplicações,Elmasri & Navathe,LTC,3,2000,837,N,POR
93,Java Como Programar,,H. M. Deitel & P. J. Deitel,Bookman,4,2003,1386,N,POR
95,Engenharia de Software,,Roger S. Pressman,McGrawHill,6,2006,720,S,POR
96,Sistemas Operacionais com Java,,Silberschatz – Galvin – Gagne,Campus,6,2004,670,N,POR
97,Ciência da Computação,Uma Visão Abrangente,J. Glenn Brookshear,Bookman,5,2000,449,N,POR
99,Engenharia de Software,,Roger S. Pressman,Makron Books,3,1995,1056,S,POR
100,C Completo e Total,,Herbert Schildt,Makron Books,3,1996,827,N,POR
101,Easy Play Partituras Facilitadas,Guilherme Arantes,,,1,1990,37,N,POR
102,Bernardinho,Transformando Suor em Ouro,Bernardinho,Sextante,1,2006,215,S,POR
103,Leitura Dinâmica,"Como Multiplica a Velocidade, a Compreensão e a Retenção da Leitura",Ricardo Soares & William Douglas,Campus Concursos,13,2010,187,S,POR
104,Gerência de Projetos,Guia para o exame oficial do PMI,Kim Heldman,Campus,3,2006,529,N,POR
105,Redes de Computadores e Internet,,Douglas E. Comer,Bookman,4,2007,632,N,POR
110,"Coleção 70º aniversário da 2ª Guerra Mundial, v.1",1919 a 1939 – Hitler desafia a ordem mundial,,Abril Coleções,1,2009,144,N,POR
111,"Coleção 70º aniversário da 2ª Guerra Mundial, v.2",1939 – A Alemanha domina a Polônia,,Abril Coleções,1,2009,144,N,POR
112,"Coleção 70º aniversário da 2ª Guerra Mundial, v.3",1939 – Finlândia contra URSS: guerra na neve,,Abril Coleções,1,2009,144,N,POR
113,"Coleção 70º aniversário da 2ª Guerra Mundial, v.4",1940 – Dinamarca e Noruega alimentam a máquina de guerra alemã,,Abril Coleções,1,2009,144,N,POR
114,"Coleção 70º aniversário da 2ª Guerra Mundial, v.5",1940 – A queda dos países baixos,,Abril Coleções,1,2009,144,N,POR
115,"Coleção 70º aniversário da 2ª Guerra Mundial, v.6",1940 – Terra invadida: A França de Joelhos,,Abril Coleções,1,2009,144,N,POR
116,"Coleção 70º aniversário da 2ª Guerra Mundial, v.7",1939 a 1943 – Pânico no mar: a Guerra no Atlântico,,Abril Coleções,1,2009,144,N,POR
117,"Coleção 70º aniversário da 2ª Guerra Mundial, v.8",1940 a 1941 – Mussolini sonha com um novo império,,Abril Coleções,1,2009,144,N,POR
118,"Coleção 70º aniversário da 2ª Guerra Mundial, v.9","Julho e Agosto de 1940 – Sangue, suor e lágrimas: a Inglaterra resiste",,Abril Coleções,1,2009,144,N,POR
119,"Coleção 70º aniversário da 2ª Guerra Mundial, v.10",1940 a 1941 – A guerra chega aos Bálcãs,,Abril Coleções,1,2009,144,N,POR
120,"Coleção 70º aniversário da 2ª Guerra Mundial, v.11",1941 – Operação Barbarossa: Hitler e Stálin em duelo de morte,,Abril Coleções,1,2009,144,N,POR
121,"Coleção 70º aniversário da 2ª Guerra Mundial, v.12",7 de Dezembro de 1941 – Pearl Harbor em chamas: EUA entram na guerra,,Abril Coleções,1,2009,144,N,POR
122,"Coleção 70º aniversário da 2ª Guerra Mundial, v.13",1941 – Japão estende seus tentáculos pelo Pacífico,,Abril Coleções,1,2009,144,N,POR
123,"Coleção 70º aniversário da 2ª Guerra Mundial, v.14",1942 – As batalhas do mar de Coral e de Midway,,Abril Coleções,1,2009,144,N,POR
124,"Coleção 70º aniversário da 2ª Guerra Mundial, v.15",1942 a 1943 – O contra-ataque aliado no Pacífico,,Abril Coleções,1,2009,144,N,POR
125,"Coleção 70º aniversário da 2ª Guerra Mundial, v.16",1942 – A Muralha do Atlântico: a lição do assalto a Dieppe,,Abril Coleções,1,2009,144,N,POR
126,"Coleção 70º aniversário da 2ª Guerra Mundial, v.17",1942 a 1943 – Stalingrado detém avanço nazista no Leste,,Abril Coleções,1,2009,144,N,POR
127,"Coleção 70º aniversário da 2ª Guerra Mundial, v.18",1941 a 1943 – Alemanha dá adeus ao Norte da África,,Abril Coleções,1,2009,144,N,POR
128,"Coleção 70º aniversário da 2ª Guerra Mundial, v.19",1943 – Hora da virada: Aliados desembarcam na Itália,,Abril Coleções,1,2009,144,N,POR
129,"Coleção 70º aniversário da 2ª Guerra Mundial, v.20",1942 – A ofensiva aérea contra a Alemanha,,Abril Coleções,1,2009,144,N,POR
130,"Coleção 70º aniversário da 2ª Guerra Mundial, v.21",1943 – Batalha de Kursk marca colapso do nazismo,,Abril Coleções,1,2009,144,N,POR
131,"Coleção 70º aniversário da 2ª Guerra Mundial, v.22",1944 – A Batalho de Monte Cassino,,Abril Coleções,1,2009,144,N,POR
132,"Coleção 70º aniversário da 2ª Guerra Mundial, v.23",6 de junho de 1944 – Desembarque na Normandia: o mais longo dos dias,,Abril Coleções,1,2009,144,N,POR
133,"Coleção 70º aniversário da 2ª Guerra Mundial, v.24",1944 – Onda aliada liberta Filipinas,,Abril Coleções,1,2009,144,N,POR
134,"Coleção 70º aniversário da 2ª Guerra Mundial, v.25",1944 – O vento da liberdade varre a Polônia,,Abril Coleções,1,2009,144,N,POR
135,"Coleção 70º aniversário da 2ª Guerra Mundial, v.26",1944 – Operação Market Garden: uma ponte longe demais,,Abril Coleções,1,2009,144,N,POR
136,"Coleção 70º aniversário da 2ª Guerra Mundial, v.27",1944 – Batalha das Ardenas: a última chance para a Wehrmacht,,Abril Coleções,1,2009,144,N,POR
137,"Coleção 70º aniversário da 2ª Guerra Mundial, v.28",1945 – A queda de Berlim e o fim da guerra na Europa,,Abril Coleções,1,2009,144,N,POR
138,"Coleção 70º aniversário da 2ª Guerra Mundial, v.29",1945 – Embate encarniçado em Iwo Jima e Okinawa,,Abril Coleções,1,2009,144,N,POR
139,"Coleção 70º aniversário da 2ª Guerra Mundial, v.30",6 a 9 de Agosto de 1945 – O Japão curva-se diante do poder atômico,,Abril Coleções,1,2009,144,N,POR
142,Milagre nos Andes,72 dias na montanha e minha longa volta para casa,"Nando Parrado, Vince Rause",Ponto de Leitura,,,374,S,POR
143,À Espera de um milagre,,Stephen King,Ponto de Leitura,,,499,N,POR
144,JK,O Artista do impossível,Cláudio Bojunga,Ponto de Leitura,,,1062,N,POR
145,Nascido para vencer!,,Luís Augusto Símon e Marcelo Prado,Leitura, ,,250,N,POR
147,O Piloto de Hitler,,C. G. SWEETING ,JARDIM DOS LIVROS,1,2011,440,S,POR
148,Um ato de liberdade,OS GUERRILHEIROS BIELSKI,"TEC, NECHAMA",RECORD,1,2009,470,N,POR
149,Fuga de Sobibor,,"RASHKE, RICHARD",8INVERSO,1,2011,384,N,POR
150,DICIONARIO LAROUSSE ESPANHOL - PORTUGUES MINI C/CD,,LAROUSSE EDITORIAL,LAROUSSE DO BRASIL,3,2010,385,N,POR/ESP
160,MENTES BRILHANTES,COMO DESENVOLVER TODO O POTENCIAL DO SEU CEREBRO,ALBERTO DELLISOLA,UNIVERSO DOS LIVROS,1,2012,206,N,POR
161,Hitler,Retrato de Uma Tirania,Fernando Jorge,Geração Editorial,1,2012,328,S,POR
166,Tempo de Esperas,,Padre Fábio de Melo,Planeta do Brasil,1,2011,160,S,POR
168,São Bernardo,,Graciliano Ramos,Record,91,2011,270,S,POR
170,Viver Bem Aqui e Agora,A força do instante presente,Olivier Ninge & Simonne Mortera,Editora Vozes,,2011,95,S,POR
172,Mentes Ansiosas,Medo e Ansiedade além dos limites,Ana Beatriz Barbosa Silva,Fontanar,1,2011,205,S,POR
173,"Gramática da Língua Portuguesa Para Concursos, Vestibulares, ENEM, Colégios Técnicos e Militares...",,Nilson Teixeira de Almeida,Saraiva,9,2009,555,N,POR
175,"Estácio, Bom de bola",Náutico Campeão de 1934,Carlos Saldanha Maranhão,,1,2011,32,S,POR
176,O Poder do marido que ora,,Stormie Omartian,Mundo Cristão,27,2012,190,N,POR
177,Argo,Como a CIA e Hollywood realizaram o mais estranho resgate da história,Antonio Mendez & Matt Baglio,Intríseca,,2012,256,S,POR
178,Historia de Chile,Desde la invasión incaica hasta nuestros días (1500 - 2000),Armando de Ramón,Catalonia,7,2012,316,N,ESP
179,Como construir um casamento duradouro,Lições de casais da Bíblia,Ruth & Elmer Towns,Central Gospel,1,2012,224,N,POR
180,Las Armas Secretas de Hitler,,,Galas Ediciones,1,2010,280,N,ESP
181,Grandes Gestores Excelentes Comunicadores,Comunicação eficaz na gestão estratégica de pessoas em ambientes corporativos,Cristiano Arcoverde,Comunicação eficaz produções,1,2013,76,S,POR
182,Vou ministrar a palavra E agora,Dicas de como preparar seu sermão e transmitir a mensagem nos padrões da oratória,Cristiano Arcoverde,Comunicação eficaz produções,1,2014,177,S,POR
183,Como lidar com as emoções,"Culpa, ansiedade, angústia, medo depressão",Ellen G. White,Casa Publicadora Brasileira,1,2006,64,N,POR
184,O fator barnabé,,Abe Huber,,,,94,S,POR
185,O purê de batatas,Segredos para uma comunhão nutritiva e frutífera no ambiente da célula,Abe Huber,,,2009,80,S,POR
186,Bíblia Sagrada,Com guia de estudo Bíblia Fácil,,Sociedade Bíblica do Brasil,,2013,896,N,POR
187,O Homem em três dimensões,"Volume 1 da Série Espírito, Alma e Corpo",Kenneth E. Hagin,Graça Editora,,2013,51,S,POR
189,Em seus passos o que faria Jesus?,,Charles Sheldon,Mundo Cristão,,2008,278,S,POR
190,Levante-se e ore,Um guia para a mulher que busca comunhão constante com Deus,Sheila Walsh,Thomas Nelson Brasil,,2013,214,N,POR
191,Baú de Lágrimas,O diário secreto do holocausto,Nonna Bannister,Novo Século,,2013,303,S,POR
192,Novos limiares da Fé,26 lições da fé,Kenneth E. Hagin,,,,115,N,POR
193,Verdades Objetivas,Justiça,Bernard W. Snelgrove,Editora Verdade Viva,,,34,N,POR
194,Os dons espirituais,,Dave Roberson,Ministério Verdade Viva,,,82,N,POR
195,Em seu coração,,Bernard W. Snelgrove,,2,2003,59,N,POR
196,Liberdade e Compromisso,,Bernard W. Snelgrove,Editora Verdade Viva,1,2000,134,N,POR
197,Viva com esperança,24 horas para você renovar suas energias,Mark Finley,Casa Publicadora Brasileira,1,2009,111,N,POR
198,Ministrando à sua família,Uma coleção de Sermões de Kenneth E. Hagin e Kenneth Hagin Jr.,Kenneth E. Hagin e Kenneth Hagin Jr.,,,1994,60,N,POR
199,Sinais de Esperança,Uma leitura surpreendente dos acontecimentos atuais,Alejandro Bullón,Casa Publicadora Brasileira,1,2013,110,N,POR
200,No deserto da tentação,Os primeiros e decisivos lances da vitória sobre o pecado,Ellen G. White,Casa Publicadora Brasileira,6,2012,79,N,POR
